;param;accuracy;recall;precision;f1;TP;TN;FP;FN
192;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 25};0.866275776;0.215024965;0.036153747;0.061899817;;;;
193;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 50};0.866210175;0.213426344;0.035884959;0.061439617;;;;
194;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 75};0.866463632;0.219602836;0.036923458;0.063217661;;;;
195;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 100};0.866583757;0.222530182;0.037415655;0.064060364;;;;
196;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 25};0.865862578;0.204955726;0.034460731;0.059001158;;;;
197;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 50};0.866311558;0.215896941;0.036300359;0.062150835;;;;
198;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 75};0.86630602;0.215761992;0.036277669;0.062111987;;;;
199;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 100};0.866419756;0.218533628;0.036743684;0.062909865;;;;
200;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 25};0.866334561;0.216457496;0.036394609;0.062312204;;;;
201;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 50};0.866109645;0.210976509;0.03547305;0.060734377;;;;
202;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 75};0.866334987;0.216467877;0.036396354;0.062315192;;;;
203;{'contamination': 0.12203008214118917, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 100};0.866577794;0.222384853;0.037391219;0.064018528;;;;
204;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 25};0.866228066;0.213862332;0.035958265;0.061565126;;;;
205;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 50};0.866295797;0.215512856;0.03623578;0.062040267;;;;
206;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 75};0.866497284;0.220422908;0.037061343;0.063453737;;;;
207;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 100};0.866520287;0.220983464;0.037155593;0.063615106;;;;
208;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 25};0.865985259;0.207945356;0.034963399;0.059861791;;;;
209;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 50};0.866151391;0.211993813;0.035644097;0.061027231;;;;
210;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 75};0.866438499;0.218990377;0.036820481;0.063041351;;;;
211;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 100};0.866314966;0.215979986;0.036314322;0.062174741;;;;
212;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 25};0.865684094;0.20060623;0.033729418;0.057749057;;;;
213;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 50};0.866307724;0.215803515;0.03628465;0.06212394;;;;
214;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 75};0.86622977;0.213903854;0.035965246;0.06157708;;;;
215;{'contamination': 0.12203008214118917, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 100};0.866499414;0.220474811;0.03707007;0.063468679;;;;
216;{'contamination': 0.12203008214118917, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 25};0.866062787;0.209834636;0.035281058;0.060405663;;;;
217;{'contamination': 0.12203008214118917, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 50};0.86583063;0.204177177;0.034329827;0.058777035;;;;
218;{'contamination': 0.12203008214118917, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 75};0.866331153;0.216374451;0.036380646;0.062288297;;;;
